Neighborhood,London borough,Post town,Postcode district,lat,lon
Childs Hill,Barnet,LONDON,NW2,51.5629822,-0.1972494
Chinatown,Westminster,LONDON,W1,51.511680299999995,-0.1304959294095688
Chinbrook,Lewisham,LONDON,SE12,51.4294489,0.0330024
Chingford,Waltham Forest,LONDON,E4,51.630887,0.0039962
Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",LONDON,W4,51.4923137,-0.263818
Church End,Brent,LONDON,NW10,51.601117,-0.1918901
Church End,Barnet,LONDON,N3,51.601117,-0.1918901
Clapham,"Lambeth, Wandsworth",LONDON,SW4,51.4622924,-0.1388561
Clerkenwell,Islington,LONDON,EC1,51.5237268,-0.1055555
Colindale,Barnet,LONDON,NW9,51.5954091,-0.2499296
Colliers Wood,Merton,LONDON,SW19,51.4182747,-0.1778626
Colney Hatch,Barnet,LONDON,"N11, N10",51.6025172,-0.1480126
Covent Garden,Westminster,LONDON,WC2,51.512873600000006,-0.12254367918576929
Cricklewood,"Barnet, Brent, Camden",LONDON,NW2,51.5566986,-0.2157507
Crofton Park,Lewisham,LONDON,SE4,51.4552107,-0.0366376
Crossness,Bexley,LONDON,SE2,51.501917649999996,0.15139629706027904
Crouch End,Haringey,LONDON,N8,51.5787402,-0.1235992
Crystal Palace,Bromley,LONDON,"SE19, SE20, SE26",51.4193664,-0.0711328
Cubitt Town,Tower Hamlets,LONDON,E14,51.4936677,-0.0082433
Custom House,Newham,LONDON,E16,51.508789500000006,-0.0826440579649754
Dalston,Hackney,LONDON,E8,51.5434023,-0.0672286
Dartford,Dartford,LONDON,DA5,51.4443059,0.21807
De Beauvoir Town,Islington,LONDON,N1,51.539929,-0.0850011
Denmark Hill,Southwark,LONDON,SE5,51.468043,-0.0896031
Deptford,Lewisham,LONDON,SE8,51.4758453,-0.0215164
Dollis Hill,Brent,LONDON,NW2,51.5519625,-0.2390214
Dulwich,Southwark,LONDON,SE21,51.4418786,-0.0843244
Ealing,Ealing,LONDON,"W5, W13",51.5126553,-0.3051952
Earls Court,Kensington and Chelsea,LONDON,"SW5, SW10",51.4916123,-0.193903
Earlsfield,Wandsworth,LONDON,SW18,51.4464482,-0.1893941
East Dulwich,Southwark,LONDON,SE22,51.4585551,-0.0727322
East Finchley,Barnet,LONDON,N2,51.5871881,-0.1648137
East Ham,Newham,LONDON,E6,51.5329628,0.0553201
East Sheen,Richmond upon Thames,LONDON,SW14,51.4623706,-0.267094
Edmonton,Enfield,LONDON,"N9, N18",51.6203392,-0.0659791
Elephant and Castle,Southwark,LONDON,"SE1, SE11, SE17",51.4948884,-0.1005731
Eltham,Greenwich,LONDON,SE9,51.4505687,0.0541253
Falconwood,"Bexley, Greenwich","LONDON, WELLING","SE9, DA16",51.4626258,0.0892652
Farringdon,Islington & City,LONDON,EC1,51.5201241,-0.1047928
Finchley,Barnet,LONDON,"N2, N3, N12",51.5973246,-0.1805587
Finsbury,Islington,LONDON,EC1,51.5265742,-0.1070713
Finsbury Park,"Haringey, Islington",LONDON,N4,51.5648345,-0.1064144
Fitzrovia,Camden,LONDON,W1,51.5187642,-0.1410017
Forest Gate,Newham,LONDON,E7,51.5495236,0.0249248
Forest Hill,Lewisham,LONDON,SE23,51.4392419,-0.0530903
Fortis Green,Haringey,LONDON,N10,51.590997,-0.1534208
Friern Barnet,Barnet,LONDON,N11,51.6128484,-0.158614
Frognal,Camden,LONDON,NW3,51.5575003,-0.1817922
Fulham,Hammersmith and Fulham,LONDON,SW6,51.4744221,-0.2060772
Gipsy Hill,Lambeth,LONDON,"SE19, SE27",51.4247042,-0.0845885
Golders Green,Barnet,LONDON,NW11,51.5718315,-0.1955219
Gospel Oak,Camden,LONDON,"NW5, NW3",51.5554865,-0.151577
Grahame Park,Barnet,LONDON,NW9,51.6028898,-0.244866
Grange Park,Enfield,LONDON,N21,51.6433292,-0.0969391
Greenwich,Greenwich,LONDON,SE10,51.4820845,-0.0045417
Grove Park,Hounslow,LONDON,W4,51.4318969,0.0212344
Grove Park,Lewisham,LONDON,SE12,51.4318969,0.0212344
Gunnersbury,Hounslow,LONDON,W4,51.4913757,-0.2755244
Hackney,Hackney,LONDON,"E5, E8, E9, N1, N16",51.5432402,-0.0493621
Hackney Central,Hackney,LONDON,E8,51.5470605,-0.0568749
Hackney Marshes,Hackney,LONDON,E9,51.55649645,-0.029171864933870008
Hackney Wick,Hackney,LONDON,E9,51.543433,-0.0240839
Haggerston,Hackney,LONDON,E2,51.5385184,-0.0753811
The Hale,Barnet,LONDON,NW7,51.5889219,-0.0634914
Hammersmith,Hammersmith and Fulham,LONDON,W6,51.4920377,-0.2236401
Hampstead,Camden,LONDON,NW3,51.5542879,-0.1740747
Hampstead Garden Suburb,Barnet,LONDON,N2,51.5805081,-0.1806164
Hanwell,Ealing,LONDON,W7,51.5089838,-0.3381584
Harlesden,Brent,LONDON,NW10,51.5363567,-0.257833
Harringay,Haringey,LONDON,"N4, N8, N15",51.582382,-0.0996181
Hendon,Barnet,LONDON,NW4,51.5897442,-0.22162
Herne Hill,Lambeth,LONDON,SE24,51.4534691,-0.1022835
Highams Park,Waltham Forest,LONDON,E4,51.6088927,-0.0001301
Highbury,Islington,LONDON,N5,51.5457996,-0.1027127
Highgate,Camden,LONDON,N6,51.5744322,-0.1526837
Hither Green,Lewisham,LONDON,SE13,51.4514446,-0.0004955
Holborn,Camden,LONDON,"WC1, WC2",51.5179341,-0.1195284
Holland Park,Kensington and Chelsea,LONDON,"W8, W11, W14",51.503014,-0.2041391264020562
Holloway,Islington,LONDON,N7,51.5572453,-0.1183706
Homerton,Hackney,LONDON,E9,51.5470789,-0.043121
Honor Oak,Lewisham,LONDON,SE23,51.45129,-0.05128
Horn Park,"Greenwich, Lewisham",LONDON,SE12,51.4472867,0.0260585
Hornsey,Haringey,LONDON,N8,51.5873645,-0.1209667
Hoxton,Hackney,LONDON,N1,51.5323935,-0.086078
The Hyde,Barnet,LONDON,NW9,51.5907988,-0.2556949
Isle of Dogs,Tower Hamlets,LONDON,E14,51.4978447,-0.0168854
Islington,Islington,LONDON,N1,51.5384287,-0.0999051
Kennington,"Lambeth, Southwark",LONDON,SE11,51.4882861,-0.1058829
Kensal Green,Brent,LONDON,"NW10, NW6",51.5306063,-0.2244449
Kensington,Kensington and Chelsea,LONDON,SW7,51.4989948,-0.1991229
Kentish Town,Camden,LONDON,NW5,51.5500658,-0.1425625
Kenton,"Brent, Harrow","HARROW, LONDON",HA3,51.5815255,-0.3166378
Kidbrooke,Greenwich,LONDON,SE3,51.4675731,0.0285241
Kilburn,"Brent, Camden",LONDON,NW6,51.541882,-0.1979358
King's Cross,Camden and Islington,LONDON,WC1,51.5323954,-0.1230224
Kingsbury,Brent,LONDON,NW9,51.5843174,-0.2787137
Kingston Vale,Kingston upon Thames,LONDON,SW15,51.43185,-0.2581379
Knightsbridge,Westminster,LONDON,SW1,51.5008444,-0.166965
Ladywell,Lewisham,LONDON,"SE4, SE13",51.4560257,-0.0191917
Lambeth,Lambeth,LONDON,SE1,51.5013012,-0.117287
Lea Bridge,Hackney,LONDON,E10,51.562141499999996,-0.045734448334317473
Leamouth,Tower Hamlets,LONDON,E14,51.5148999,0.0467036
Lee,Lewisham,LONDON,SE12,51.4565827,0.0114959
Lewisham,Lewisham,LONDON,SE13,51.4624325,-0.0101331
Leyton,Waltham Forest,LONDON,"E10, E15",51.5696734,-0.015681
Leytonstone,Waltham Forest,LONDON,E11,51.5710783,0.0064237
Limehouse,Tower Hamlets,LONDON,E14,51.5133074,-0.0351492
Lisson Grove,Westminster,LONDON,NW8,51.5263592,-0.1718219
Little Ilford,Newham,LONDON,E12,51.550298,0.0625225
Little Venice,Westminster,LONDON,"W9, W2",51.5211948,-0.1824045
Longlands,Bexley,"LONDON, SIDCUP","SE9, DA14, DA15",51.4304854,0.0841774
Lower Clapton,Hackney,LONDON,E5,51.5546565,-0.0550912
Maida Vale,Westminster,LONDON,W9,51.527592,-0.1905916
Manor House,Hackney,LONDON,N4,51.5703208,-0.0963971
Manor Park,Newham,LONDON,E12,51.4269492,-0.1355069
Maryland,Newham,LONDON,E15,51.5460532,0.0059223
Marylebone (also St Marylebone),Westminster,LONDON,W1,51.5460532,0.0059223
Mayfair,Westminster,LONDON,W1,51.5110872,-0.147058
Maze Hill,Greenwich,LONDON,SE10,51.482607,0.0038458
Merton Park,Merton,LONDON,SW19,51.4079938,-0.2019654
Middle Park,Greenwich,LONDON,SE9,51.4453135,0.0400849
Mile End,Tower Hamlets,LONDON,E1,51.5253378,-0.033435
Mill Hill,Barnet,LONDON,NW7,51.6154423,-0.2330675
Millbank,Westminster,LONDON,SW1,51.4926121,-0.1290435
Millwall,Tower Hamlets,LONDON,E14,51.4933423,-0.0212187
Mortlake,Richmond upon Thames,LONDON,SW14,51.4698873,-0.2685226
Mottingham,Bromley,LONDON,SE9,51.4339336,0.0495702
Muswell Hill,Haringey and Barnet,LONDON,N10,51.5910395,-0.1420768
Nag's Head,Islington,LONDON,N7,51.5129793,-0.12361979920177762
Neasden,Brent,LONDON,"NW2, NW10",51.5543358,-0.250749
New Cross,Lewisham,LONDON,SE14,51.4763706,-0.0326237
New Eltham,Greenwich,LONDON,SE9,51.4362297,0.0685289
New Southgate,Barnet,LONDON,N11,51.6140016,-0.1430349
Newington,Southwark,LONDON,"SE1, SE17",51.48528865,-0.10161266013917428
Nine Elms,Wandsworth,LONDON,SW8,51.4787433,-0.1362629
Norbury,Croydon,LONDON,SW16,51.4110663,-0.1224869
North Finchley,Barnet,LONDON,N12,51.6124905,-0.1756922
North Kensington,Kensington and Chelsea,LONDON,"W10, W11",51.5196647,-0.2106959
North Woolwich,Newham,LONDON,E16,51.5004071,0.064154
Notting Hill,Kensington and Chelsea,LONDON,W11,51.5109995,-0.2055267
Nunhead,Southwark,LONDON,SE15,51.4615309,-0.0535056
Oakleigh Park,Barnet,LONDON,N20,51.6377516,-0.1662835
Old Ford,Tower Hamlets,LONDON,E3,51.5341124,-0.0268215
Old Oak Common,Hammersmith and Fulham,LONDON,NW10,51.52921055,-0.2409410474285966
Osidge,Barnet,LONDON,N14,51.632198,-0.1430039
Oval,Lambeth,LONDON,"SW8, SW9, SE11",51.48375215,-0.11496182711601476
Paddington,Westminster,LONDON,W2,51.5170856,-0.1775422
Palmers Green,Enfield,LONDON,N13,51.6222544,-0.1127378
Park Royal,"Brent, Ealing",LONDON,NW10,51.5264341,-0.2839348
Parsons Green,Hammersmith and Fulham,LONDON,SW6,51.4750837,-0.201549
Peckham,Southwark,LONDON,SE15,51.4734122,-0.0699321
Penge,Bromley,LONDON,SE20,51.4146841,-0.0534213
Pentonville,Islington,LONDON,N1,51.5318579,-0.1084232
Pimlico,Westminster,LONDON,SW1,51.4889993,-0.1398817
Plaistow,Newham,LONDON,E13,51.5311544,0.0166833
Plumstead,Greenwich,LONDON,SE18,51.4804635,0.0924286
Poplar,Tower Hamlets,LONDON,E14,51.5110713,-0.0144629
Primrose Hill,Camden,LONDON,"NW1, NW3, NW8",51.5390165,-0.16193786284392453
Putney,Wandsworth,LONDON,SW15,51.4625524,-0.2167462
Queen's Park,Brent,LONDON,NW6,51.529149000000004,-0.20881331988409563
Queensbury,"Harrow, Brent","HARROW, STANMOREEDGWARE, LONDON","HA3, HA7, HA8",51.529149000000004,-0.20881331988409563
Ratcliff,Tower Hamlets,LONDON,E1,51.5463225,0.0331873
Raynes Park,Merton,LONDON,SW20,51.408966,-0.23054
Roehampton,Wandsworth,LONDON,SW15,51.4498773,-0.2412672
Rotherhithe,Southwark,LONDON,SE16,51.5002908,-0.0436321
Sands End,Hammersmith and Fulham,LONDON,SW6,51.4725454,-0.1871122
Selhurst,Croydon,LONDON,SE25,51.3922136,-0.0886537
Seven Sisters,Haringey,LONDON,N15,51.5824738,-0.0749325
Shacklewell,Hackney,LONDON,"E8, N16",51.5523761,-0.0701582
Shadwell,Tower Hamlets,LONDON,E1,51.51125,-0.0569241
Shepherd's Bush,Hammersmith and Fulham,LONDON,W12,51.505314,-0.2229007
Shooter's Hill,Greenwich,LONDON,SE18,51.4692255,0.066306
Shoreditch,Hackney,LONDON,N1,51.5266694,-0.0798926
Silvertown,Newham,LONDON,E16,51.5013626,0.0385185
Snaresbrook,"Redbridge, Waltham Forest",LONDON,E11,51.5831734,0.0228777
Soho,Westminster,LONDON,W1,51.5131628,-0.1311754
Somerstown,Camden,LONDON,NW1,51.5131628,-0.1311754
South Hackney,Hackney,LONDON,E9,51.5432402,-0.0493621
South Kensington,Kensington and Chelsea,LONDON,"SW7, SW3, SW5",51.4940494,-0.1730439
South Norwood,Croydon,LONDON,SE25,51.3980951,-0.0768216
South Wimbledon,Merton,LONDON,SW19,51.4151759,-0.1926457
South Woodford,Redbridge,LONDON,E18,51.5917798,0.0274276
South Tottenham,Haringey,LONDON,"N15, N17",51.5804433,-0.0717169
Southend,Lewisham,LONDON,SE6,51.570227599999996,0.6966132970490921
Southfields,Wandsworth,LONDON,"SW18, SW19",51.4457751,-0.2066142
Southgate,Enfield,LONDON,N14,51.6281547,-0.123596
Spitalfields,Tower Hamlets,LONDON,E1,51.5195274,-0.0751701
St James's,Westminster,LONDON,SW1,51.5079082,-0.1365727
St Giles,Camden,LONDON,WC2,51.5160098,-0.1219057
St Johns,Lewisham,LONDON,SE4,51.4690905,-0.0221846
St John's Wood,Westminster,LONDON,NW8,51.531726,-0.1741901
St Luke's,Islington,LONDON,EC1,51.489577,-0.16938725233160384
St Pancras,Camden,LONDON,WC1,51.5322906,-0.1259994
Stamford Hill,Hackney,LONDON,"N15, N16",51.5707092,-0.0690402
Stepney,Tower Hamlets,LONDON,E1,51.5174023,-0.0462189
Stockwell,Lambeth,LONDON,"SW8, SW9",51.472211,-0.1225014
Stoke Newington,Hackney,LONDON,N16,51.5576971,-0.0772816
Stonebridge,Brent,LONDON,NW10,51.5441099,-0.2762285
Stratford,Newham,LONDON,E15,51.541289,-0.0035472
Streatham,Lambeth,LONDON,SW16,51.429769,-0.1311105
Stroud Green,Haringey,LONDON,N4,51.5716864,-0.1114972
Surrey Quays,Southwark,LONDON,SE16,51.4934207,-0.0478319
Swiss Cottage,Camden,LONDON,NW3,51.543722,-0.174982
"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",LONDON,SE26,51.543722,-0.174982
Sydenham Hill,"Lewisham, Southwark",LONDON,"SE21, SE26",51.4326038,-0.072322
Temple,"City, Westminster",LONDON,"EC4, WC2",51.5109659,-0.1143345
Thamesmead,"Bexley, Greenwich","LONDON, ERITH","SE28, SE2, DA18",51.5819126,-0.1990538
Tooting,Wandsworth,LONDON,SW17,51.4266588,-0.1690768
Tooting Bec,Wandsworth,LONDON,SW17,51.4356086,-0.1596548
Tottenham,Haringey,LONDON,"N15, N17",51.5976955,-0.0672892
Tottenham Green,Haringey,LONDON,N15,51.58775405,-0.07147608181567411
Tottenham Hale,Haringey,LONDON,"N15, N17",51.5881223,-0.0599366
Totteridge,Barnet,LONDON,N20,51.6331335,-0.2008636
Tower Hill,Tower Hamlets,LONDON,EC3,51.5098481,-0.0766986
Tufnell Park,"Islington, Camden",LONDON,"N7, N19",51.5568005,-0.138457
Tulse Hill,Lambeth,LONDON,"SE24, SE27",51.4412109,-0.1020591
Turnpike Lane,Haringey,LONDON,N8,51.3628478,-0.1873336
Upper Clapton,Hackney,LONDON,E5,51.5668384,-0.0605697
Upper Holloway,Islington,LONDON,N19,51.5644891,-0.1338683
Upper Norwood,Croydon,LONDON,SE19,51.4164053,-0.0940347
Upper Walthamstow,Waltham Forest,LONDON,E17,51.5879893,0.0020978
Upton Park,Newham,LONDON,"E6, E13",51.5351062,0.0339842
Vauxhall,Lambeth,LONDON,SW8,51.4874834,-0.1229297
Walthamstow,Waltham Forest,LONDON,E17,51.5844701,-0.0188186
Walthamstow Village,Waltham Forest,LONDON,E17,51.5836835,-0.0121451
Walworth,Southwark,LONDON,SE17,51.4901142,-0.0906603
Wandsworth,Wandsworth,LONDON,SW18,51.4570271,-0.1932607
Wanstead,Redbridge,LONDON,E11,51.5756739,0.0277989
Wapping,Tower Hamlets,LONDON,E1,51.5054363,-0.0587291
Well Hall,Greenwich,LONDON,SE9,51.4574683,0.0501437
West Brompton,Kensington and Chelsea,LONDON,SW10,51.4869765,-0.1951854
West Ealing,Ealing,LONDON,W13,51.5135091,-0.3207704
West Green,Haringey,LONDON,N15,51.5868063,-0.0898489
West Hackney,Hackney,LONDON,N16,51.5608595,-0.0691322
West Ham,Newham,LONDON,"E13, E15",51.5280966,0.0045685
West Hampstead,Camden,LONDON,NW6,51.5468194,-0.1899646
West Heath,Bexley,LONDON,SE2,51.4808745,0.1273574
West Hendon,Barnet,LONDON,NW9,51.578213,-0.2403793
West Kensington,Hammersmith and Fulham,LONDON,W14,51.4906622,-0.205916
West Norwood,Lambeth,LONDON,SE27,51.4346192,-0.1036917
Westcombe Park,Greenwich,LONDON,SE3,51.4842204,0.0188787
Westminster,Westminster,LONDON,SW1,51.5013562,-0.1249302
Whetstone,Barnet,LONDON,N20,51.6301762,-0.1748844
White City,Hammersmith and Fulham,LONDON,W12,51.5119347,-0.2242361
Whitechapel,Tower Hamlets,LONDON,E1,51.5186227,-0.0620807
Willesden,Brent,LONDON,NW10,51.5466216,-0.2358661
Wimbledon,Merton,LONDON,"SW19, SW20",51.4214787,-0.2064027
Winchmore Hill,Enfield,LONDON,N21,51.6333948,-0.1033617
Wood Green,Haringey,LONDON,N22,51.5959898,-0.1091471
Woodford,Redbridge,LONDON,"IG8, E18",51.6068055,0.0340119
Woodford Green,"Redbridge, Waltham Forest","LONDON, WOODFORD GREEN",IG8,51.6118469,0.02407962103878284
Woodside Park,Barnet,LONDON,N12,51.6179483,-0.1855794
Woolwich,Greenwich,LONDON,SE18,51.4826696,0.0623335
Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,51.52137985,-0.24043929057201105
